>NC_018143.2
80181	80370
103702	105127
154112	154227
177052	177173
272845	272947
309898	310101
335864	336379
338627	339142
400151	401701
425452	425593
473746	474102
475812	476180
569823	569981
577288	577499
580579	580817
606513	608063
642716	642817
701249	701372
709427	709551
832047	832359
842022	842334
889022	891464
908183	909349
921582	921896
960169	960330
964607	965084
1093199	1093322
1093425	1094596
1094831	1094955
1095304	1095743
1095829	1096696
1160542	1161171
1164575	1165553
1169301	1170738
1189697	1190180
1191421	1191904
1275929	1276058
1276297	1277802
1277847	1278825
1305499	1305666
1339355	1340439
1340500	1341298
1341301	1342736
1451784	1452001
1468171	1469622
1532545	1533659
1541954	1543313
1633536	1634796
1637138	1638398
1644268	1644371
1702681	1702849
1779814	1780154
1780246	1780586
1782080	1782824
1788520	1789872
1814859	1815135
1895359	1895598
1946855	1947030
1982893	1983358
1987705	1989066
1996105	1998619
2025308	2025862
2025899	2026170
2028432	2029249
2030338	2030990
2074442	2074640
2163737	2164099
2165333	2165590
2195863	2197367
2198693	2198822
2260262	2260445
2262017	2263177
2294824	2296497
2299204	2300823
2300920	2302587
2305273	2306889
2337944	2338102
2340537	2340695
2347402	2347621
2365418	2366779
2430121	2431482
2439155	2439956
2461333	2461512
2531902	2532219
2550015	2551380
2625895	2626693
2635584	2636942
2637267	2637544
2720651	2721452
2784610	2785987
2828503	2829940
2944369	2945236
2972116	2973473
2975253	2975997
2982954	2983864
2996013	2996178
3007047	3007230
3082475	3082664
3100183	3100333
3120530	3121892
3132901	3133465
3135797	3136361
3155892	3156099
3171475	3171637
3192204	3192365
3194147	3194461
3232660	3232876
3239574	3239798
3317543	3317749
3319468	3319581
3333767	3333916
3336513	3336808
3376936	3377401
3377658	3378279
3378342	3378448
3379373	3379838
3380098	3380719
3380921	3381027
3381322	3382760
3477225	3477397
3481321	3482757
3483942	3485108
3491744	3491917
3551223	3552584
3552705	3554067
3594259	3594455
3598347	3598527
3690947	3691241
3710550	3712993
3730521	3731235
3732249	3732963
3735806	3736485
3743368	3743672
3753501	3754532
3769684	3769891
3769924	3770024
3795223	3796596
3820570	3820769
3841712	3842946
3846640	3847872
3847896	3848072
3883728	3885100
3890955	3892314
3894584	3895698
3931167	3932974
3933525	3934947
3935049	3936594
3941403	3942144
3945276	3945776
3945956	3950180
3951008	3951508
4053149	4053728
4060162	4060770
4078177	4078380
4156976	4157145
4253059	4254510
4288313	4288434
4301719	4301869
4318518	4319549
4348902	4349002
4353457	4353622
